START: śr. 15 lip 2026 14:50:36 CEST
00:00.259  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
09:21.529  render           | Fra: 4 | Mem: 1303M | Updating Scene BVH | Building BVH 6%
09:21.779  render           | Fra: 4 | Mem: 1593M | Updating Scene BVH | Building BVH 24%
09:22.029  render           | Fra: 4 | Mem: 1873M | Updating Scene BVH | Building BVH 40%
09:22.279  render           | Fra: 4 | Mem: 2177M | Updating Scene BVH | Building BVH 58%
09:22.529  render           | Fra: 4 | Mem: 2431M | Updating Scene BVH | Building BVH 73%
09:22.818  render           | Fra: 4 | Mem: 2673M | Updating Scene BVH | Building BVH 87%
09:23.016  render           | Fra: 4 | Mem: 2903M | Updating Scene BVH | Copying BVH to device
09:23.016  render           | Fra: 4 | Mem: 2903M | Updating Mesh | Computing normals
09:23.016  render           | Fra: 4 | Mem: 2903M | Updating Mesh | Copying Mesh to device
09:23.016  render           | Fra: 4 | Mem: 2906M | Updating Mesh | Copying Curves to device
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Objects Flags
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Primitive Offsets
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Images
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Volume
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Camera Volume
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Lookup Tables
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Lights
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Lights | Computing tree
09:23.155  render           | Fra: 4 | Mem: 3420M | Updating Integrator
09:23.156  render           | Fra: 4 | Mem: 3421M | Updating Film
09:23.156  render           | Fra: 4 | Mem: 3421M | Updating Lookup Tables
09:23.156  render           | Fra: 4 | Mem: 3421M | Updating Baking
09:23.156  render           | Fra: 4 | Mem: 3421M | Updating Device | Writing constant memory
09:23.156  render           | Fra: 4 | Mem: 3421M | Loading denoising kernels (may take a few minutes the first time)
09:23.156  render           | Fra: 4 | Mem: 3421M | Sample 0/128
09:24.791  render           | Fra: 4 | Remaining: 03:27.62 | Mem: 3496M | Sample 1/128
09:48.575  render           | Fra: 4 | Remaining: 02:45.97 | Mem: 3496M | Sample 17/128
10:11.958  render           | Fra: 4 | Remaining: 02:20.49 | Mem: 3496M | Sample 33/128
10:35.370  render           | Fra: 4 | Remaining: 01:56.42 | Mem: 3496M | Sample 49/128
10:58.845  render           | Fra: 4 | Remaining: 01:32.74 | Mem: 3496M | Sample 65/128
11:20.998  render           | Fra: 4 | Remaining: 01:10.70 | Mem: 3496M | Sample 80/128
11:44.105  render           | Fra: 4 | Remaining: 00:46.98 | Mem: 3496M | Sample 96/128
12:07.370  render           | Fra: 4 | Remaining: 00:23.45 | Mem: 3496M | Sample 112/128
12:33.236  render           | Fra: 4 | Mem: 3496M | Sample 128/128
12:33.238  render           | Fra: 4 | Mem: 3496M | Finished
12:33.368  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0004.png'
12:33.368  render           | Time: 03:13.29 (Saving: 00:00.04)
12:33.368  render           | Rendering frame 5
12:33.370  render           | Start rendering: Scene, ViewLayer
12:33.370  render           | Engine: Cycles
12:34.262  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_0_m
12:34.262  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_1_i
12:34.262  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_2_o
12:34.263  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_3_d
12:34.263  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_4_u
12:34.263  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_5_s
12:34.263  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_6_z
12:34.264  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_7_e
12:34.264  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_8_w
12:34.264  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_7_e
12:34.265  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_9_s
12:34.265  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_8_w
12:34.265  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_10_k
12:34.266  render           | Fra: 5 | Mem: 0M | Synchronizing object | L_11_y
