START: pt. 17 lip 2026 10:58:46 CEST
00:00.254  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
12:26.070  render           | Fra: 3 | Mem: 0M | Updating Scene
12:26.070  render           | Fra: 3 | Mem: 0M | Updating Shaders
12:26.070  render           | Fra: 3 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Procedurals
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Background
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Camera
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Meshes Flags
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Objects
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Objects | Copying Transformations to device
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Particle Systems
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Particle Systems | Copying Particles to device
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Meshes
12:26.070  render           | Fra: 3 | Mem: 1M | Updating Objects | Applying Static Transformations
12:26.103  render           | Fra: 3 | Mem: 1M | Updating Mesh | Computing attributes
12:26.118  render           | Fra: 3 | Mem: 1M | Updating Mesh | Copying Attributes to device
12:26.181  render           | Fra: 3 | Mem: 105M | Updating Scene BVH | Building
12:26.181  render           | Fra: 3 | Mem: 105M | Updating Scene BVH | Building BVH
12:26.221  render           | Fra: 3 | Mem: 1198M | Updating Scene BVH | Building BVH 0%
12:26.471  render           | Fra: 3 | Mem: 1303M | Updating Scene BVH | Building BVH 6%
12:26.721  render           | Fra: 3 | Mem: 1601M | Updating Scene BVH | Building BVH 24%
12:26.971  render           | Fra: 3 | Mem: 1889M | Updating Scene BVH | Building BVH 41%
12:27.221  render           | Fra: 3 | Mem: 2173M | Updating Scene BVH | Building BVH 58%
12:27.471  render           | Fra: 3 | Mem: 2459M | Updating Scene BVH | Building BVH 74%
12:27.721  render           | Fra: 3 | Mem: 2741M | Updating Scene BVH | Building BVH 90%
12:27.877  render           | Fra: 3 | Mem: 2903M | Updating Scene BVH | Copying BVH to device
12:27.877  render           | Fra: 3 | Mem: 2903M | Updating Mesh | Computing normals
12:27.877  render           | Fra: 3 | Mem: 2903M | Updating Mesh | Copying Mesh to device
12:27.877  render           | Fra: 3 | Mem: 2906M | Updating Mesh | Copying Curves to device
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Objects Flags
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Primitive Offsets
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Images
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Volume
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Camera Volume
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Lookup Tables
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Lights
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Lights | Computing tree
12:27.955  render           | Fra: 3 | Mem: 3420M | Updating Integrator
12:27.955  render           | Fra: 3 | Mem: 3421M | Updating Film
12:27.955  render           | Fra: 3 | Mem: 3421M | Updating Lookup Tables
12:27.955  render           | Fra: 3 | Mem: 3421M | Updating Baking
12:27.955  render           | Fra: 3 | Mem: 3421M | Updating Device | Writing constant memory
12:27.955  render           | Fra: 3 | Mem: 3421M | Sample 0/256
12:29.815  render           | Fra: 3 | Remaining: 07:54.31 | Mem: 3457M | Sample 1/256
